Names,Districts,Difficulties - Over 5 Stars,Rating - Over 5 Stars,Descriptions
Aberdeen Nature Trail,Hong Kong Island,(1-Star Easy),(Rating 1-Heart),The first leg of Aberdeen Nature Trail skirts along Lower Ab...                                
Aberdeen Tree Walk,Hong Kong Island,(1-Star Easy),(Rating 4-Heart),Aberdeen Tree Walk lies near the downtown area and takes abo...                                
Ap Chau Geosite,North New Territories,(1-Star Easy),(Rating 3-Heart),"Located to the east of Sha Tau Kok, Ap Chau, which literally...                                "
Bride's Pool Nature Trail,North New Territories,(1-Star Easy),(Rating 3-Heart),Located at the northwestern corner of Plover Cove Country Pa...                                
Cheung Sheung Country Trail,Sai Kung,(2-Star Moderate),(Rating 3-Heart),"Cheung Sheung, surrounded by steep spurs, is one of those ra...                                "
Chi Ma Wan Country Trail,Lantau,(4-Star Difficult),(Rating 4-Heart),"Chi Ma Wan Country Trail, with a total distance of 18.5 kilo...                                "
Chuen Lung Family Walk,West New Territories,(1-Star Easy),(Rating 3-Heart),"Situated on a mountain in Tsuen Wan, Chuen Lung is an ancien...                                "
Chung Pui Tree Walk,North New Territories,(1-Star Easy),(Rating 4-Heart),Chung Pui Tree Walk is a circular route with 0.25km in lengt...                                
Clear Water Bay Tree Walk,Sai Kung,(1-Star Easy),(Rating 3-Heart),Clear Water Bay Tree Walk is cutting across dense woodlands ...                                
Double Haven Country Trail,North New Territories,(3-Star Demanding),(Rating 3-Heart),Some people say the history of Hong Kong is all about migrat...                                
Eagle's Nest Nature Trail,Central New Territories,(1-Star Easy),(Rating 3-Heart),"Eagle&rsquo;s Nest, also known as Tsim Shan, is located insi...                                "
Fan Lau Country Trail,Lantau,(1-Star Easy),(Rating 3-Heart),The multicultural facet of Hong Kong could be manifested in ...                                
Fu Tei Country Trail,West New Territories,(2-Star Moderate),(Rating 3-Heart),For the many places whose historical side has been swallowed...                                
Fung Hang Family Walk,North New Territories,(1-Star Easy),(Rating 3-Heart),"Visitors are a rarity in many border regions, but it is thes...                                "
High Island Geo Trail,Sai Kung,(2-Star Moderate),(Rating 3-Heart),Geological wonders are not necessarily situated on remote ou...                                
High Junk Peak Country Trail,Sai Kung,(3-Star Demanding),(Rating 3-Heart),"Soaring at an altitude of 344 metres with pointed edges, Hig...                                "
Ho Pui Reservoir Family Walk,West New Territories,(1-Star Easy),(Rating 2-Heart),"Located inside Tai Lam Country Park, Ho Pui Reservoir is an ...                                "
Hok Tau Country Trail,North New Territories,(2-Star Moderate),(Rating 2-Heart),Offering a rare but pastoral scene with many farmhouses and ...                                
Hok Tau Reservoir Family Walk,North New Territories,(1-Star Easy),(Rating 3-Heart),"Located inside Pat Sin Leng Country Park, Hok Tau Reservoir ...                                "
Hong Kong Trail (Section 1)The Peak to Pok Fu Lam Reservoir Road,Hong Kong Island,(2-Star Moderate),(Rating 3-Heart),The bird’s eye view of Victoria Harbour from Victoria Peak i...                                
Hong Kong Trail (Section 2)Pok Fu Lam Reservoir Road to Peel Rise,Hong Kong Island,(2-Star Moderate),(Rating 5-Heart),The second leg of the Hong Kong Trail starts at Pok Fu Lam R...                                
Hong Kong Trail (Section 3) Peel Rise to Wan Chai Gap,Hong Kong Island,(2-Star Moderate),(Rating 3-Heart),Street names in Hong Kong provide a window into the history ...                                
Hong Kong Trail (Section 4)Wan Chai Gap to Wong Nai Chung Gap,Hong Kong Island,(2-Star Moderate),(Rating 2-Heart),If there is a place to learn all about the flora and the his...                                
Hong Kong Trail (Section 5)Wong Nai Chung Gap to Mount Parker Road,Hong Kong Island,(3-Star Demanding),(Rating 3-Heart),Section 5 of the trail begins at Wong Nai Chung Reservoir. &...                                
Hong Kong Trail (Section 6) Mount Parker Road to Tai Tam Road ,Hong Kong Island,(2-Star Moderate),(Rating 3-Heart),Section 6 of the Hong Kong Trail starts at Quarry Gap at an ...                                
Hong Kong Trail (Section 7) Tai Tam Road to To Tei Wan,Hong Kong Island,(2-Star Moderate),(Rating 4-Heart),Section 7 is one of the easiest sections of the entire Hong ...                                
Hong Kong Trail (Section 8)To Tei Wan to Tai Long Wan,Hong Kong Island,(3-Star Demanding),(Rating 3-Heart),"Hong Kong Island is surrounded by sea, so stretches of coast...                                "
Hong Pak Country Trail ,Hong Kong Island,(2-Star Moderate),(Rating 3-Heart),"Situated around Quarry Bay and Tai Koo Shing, Hong Pak Count...                                "
Hung Mui Kuk Nature Trail,Central New Territories,(1-Star Easy),(Rating 4-Heart),"Between spring and summer, visitors to Hung Mui Kuk are boun...                                "
Kam Shan Family Walk,Central New Territories,(1-Star Easy),(Rating 2-Heart),Monkeys in Hong Kong do not live in Water Curtain Cave; most...                                
Kam Shan Tree Walk,Central New Territories,(1-Star Easy),(Rating 4-Heart),"Kam Shan Tree Walk is located in Kam Shan Country Park, with...                                "
